site_protocol_code,seasonYear,gridID,latitude,longitude,elevation_in_mts,aru_deployment_date,aru_deployment_time,aru_sampling_configuration,aru_sampling_duration,filenames,deviceID,startTime,fullPart
Candura_pointCountSurvey,2024Summer,N08,10.3085696,76.83118,NA,4/23/2024,8:52,600 s continuous,600,20240423_053701_N08_0852.WAV,AudioMoth 24E144025D018F18,8:52,full
Candura_pointCountSurvey,2024Summer,J10,10.3103569,76.8348418,NA,4/22/2024,6:35,600 s continuous,600,20240422_054843_J10_0635.WAV,AudioMoth 247475015D511F39,6:35,full
Candura_pointCountSurvey,2024Summer,O08,10.3085748,76.8302671,NA,4/23/2024,9:07,600 s continuous,600,20240423_055145_O08_0907.WAV,AudioMoth 24E144025D018F18,9:07,full
Candura_pointCountSurvey,2024Summer,K10,10.3103621,76.833929,NA,4/22/2024,6:50,600 s continuous,600,20240422_060447_K10_0650.WAV,AudioMoth 247475015D511F39,6:50,full
Candura_pointCountSurvey,2024Summer,P08,10.30858,76.8293543,NA,4/23/2024,9:21,600 s continuous,600,20240423_060539_P08_0921.WAV,AudioMoth 24E144025D018F18,9:21,full
Candura_pointCountSurvey,2024Summer,L10,10.3103672,76.8330161,NA,4/22/2024,7:10,600 s continuous,600,20240422_062352_L10_0710.WAV,AudioMoth 247475015D511F39,7:10,full
Candura_pointCountSurvey,2024Summer,M10,10.3103724,76.8321033,NA,4/22/2024,7:27,600 s continuous,600,20240422_064100_M10_0727.WAV,AudioMoth 247475015D511F39,7:27,full
Candura_pointCountSurvey,2024Summer,M09,10.3094684,76.832098,NA,4/22/2024,7:42,600 s continuous,600,20240422_065605_M09_0742.WAV,AudioMoth 247475015D511F39,7:42,full
Candura_pointCountSurvey,2024Summer,L09,10.3094633,76.8330109,NA,4/22/2024,7:58,600 s continuous,600,20240422_071245_L09_0758.WAV,AudioMoth 247475015D511F39,7:58,full
Candura_pointCountSurvey,2024Summer,K09,10.3094581,76.8339238,NA,4/22/2024,8:15,600 s continuous,600,20240422_072904_K09_0815.WAV,AudioMoth 247475015D511F39,8:15,full
Candura_pointCountSurvey,2024Summer,J09,10.3094529,76.8348366,NA,4/22/2024,8:31,600 s continuous,600,20240422_074507_J09_0831.WAV,AudioMoth 247475015D511F39,8:31,full
Candura_pointCountSurvey,2024Summer,I09,10.3094477,76.8357495,NA,4/22/2024,8:47,600 s continuous,600,20240422_080113_I09_0847.WAV,AudioMoth 247475015D511F39,8:47,full
Candura_pointCountSurvey,2024Summer,I08,10.3085438,76.8357442,NA,4/22/2024,9:02,600 s continuous,600,20240422_081640_I08_0902.WAV,AudioMoth 247475015D511F39,9:02,full
Candura_pointCountSurvey,2024Summer,J11,10.3112609,76.8348471,NA,4/22/2024,6:28,600 s continuous,600,20240422_062803_J11_0628.WAV,AudioMoth 24E144025D018F18,6:28,full
Candura_pointCountSurvey,2024Summer,J13,10.3130688,76.8348575,NA,4/22/2024,6:33,600 s continuous,600,20240422_063318_J13_0633.WAV,AudioMoth 245AAA0563ED0680,6:33,full
Candura_pointCountSurvey,2024Summer,K11,10.311266,76.8339342,NA,4/22/2024,6:44,600 s continuous,600,20240422_064326_K11_0644.WAV,AudioMoth 24E144025D018F18,6:44,full
Candura_pointCountSurvey,2024Summer,I13,10.3130636,76.8357704,NA,4/22/2024,6:54,600 s continuous,600,20240422_065459_I13_0654.WAV,AudioMoth 245AAA0563ED0680,6:54,full
