seasonYear,date,gridID,time,timeSeg,birdMamm,earlierName,eBirdIndiaName2023,number,distance,HSF,remarks
2024 Summer,2024-Apr-25,B02,06:08,1,Bird,,Puff-throated Babbler,1,30,H,
2024 Summer,2024-Apr-25,B02,06:08,1,Bird,,Greater Racket-tailed Drongo,1,30,H,
2024 Summer,2024-Apr-25,B02,06:08,1,Bird,,Malabar Grey Hornbill,1,10,S,Male
2024 Summer,2024-Apr-25,B02,06:08,1,Bird,,Indian Scimitar-Babbler,1,30,H,
2024 Summer,2024-Apr-25,B02,06:08,1,Bird,,Yellow-browed Bulbul,2,30,H,
2024 Summer,2024-Apr-25,B02,06:08,1,Bird,,Malabar Whistling-Thrush,1,30,H,
2024 Summer,2024-Apr-25,B02,06:08,1,Bird,,Greater Coucal,1,30,H,
2024 Summer,2024-Apr-25,B02,06:08,1,Bird,,Indian Swiftlet,2,0,F,OC
2024 Summer,2024-Apr-25,B02,06:08,1,Bird,,White-bellied Treepie,1,20,H,
2024 Summer,2024-Apr-25,B02,06:08,1,Bird,,Malabar Imperial-Pigeon,1,50,H,
2024 Summer,2024-Apr-25,B02,06:08,1,Bird,,Red-whiskered Bulbul,2,30,H,
2024 Summer,2024-Apr-25,B02,06:08,1,Bird,,Square-tailed Bulbul (Black Bulbul),1,50,H,
2024 Summer,2024-Apr-25,B02,06:08,1,Bird,,Spotted Dove,1,50,H,From tea
2024 Summer,2024-Apr-25,B02,06:08,1,Bird,,Grey Junglefowl,1,50,H,
2024 Summer,2024-Apr-25,B02,06:08,1,Bird,,Great Hornbill (Great Pied Hornbill),1,50,H,
2024 Summer,2024-Apr-25,B02,06:08,1,Mammal,,NILGIRI LANGUR,1,50,H,
2024 Summer,2024-Apr-25,B02,06:08,2,Bird,,Grey Junglefowl,1,30,H,
2024 Summer,2024-Apr-25,B02,06:08,2,Bird,,Malabar Grey Hornbill,1,50,H,
2024 Summer,2024-Apr-25,B02,06:08,2,Bird,,Greater Racket-tailed Drongo,1,50,H,
2024 Summer,2024-Apr-25,B02,06:08,2,Bird,,Vernal Hanging-Parrot (Indian Lorikeet),1,50,F,OC
2024 Summer,2024-Apr-25,B02,06:08,2,Bird,,Indian Peafowl,1,50,H,From tea
2024 Summer,2024-Apr-25,B02,06:08,2,Bird,,Malabar Barbet (Crimson-throated Barbet),1,50,H,
2024 Summer,2024-Apr-25,B02,06:08,2,Bird,,Malabar Imperial-Pigeon,2,30,S,
2024 Summer,2024-Apr-25,A02,06:24,1,Bird,,Red-whiskered Bulbul,2,20,H,
2024 Summer,2024-Apr-25,A02,06:24,1,Bird,,Puff-throated Babbler,1,30,H,
2024 Summer,2024-Apr-25,A02,06:24,1,Bird,,Jungle Myna,3,20,H,From tea
2024 Summer,2024-Apr-25,A02,06:24,1,Bird,,Oriental Magpie-Robin,1,20,H,From tea
2024 Summer,2024-Apr-25,A02,06:24,1,Bird,,Malabar Whistling-Thrush,1,30,H,
2024 Summer,2024-Apr-25,A02,06:24,1,Bird,,Red-whiskered Bulbul,5,15,S,
2024 Summer,2024-Apr-25,A02,06:24,1,Bird,,Black-naped Monarch,1,30,H,
2024 Summer,2024-Apr-25,A02,06:24,1,Bird,,Yellow-browed Bulbul,2,30,H,
2024 Summer,2024-Apr-25,A02,06:24,1,Bird,,Oriental Magpie-Robin,1,15,S,
2024 Summer,2024-Apr-25,A02,06:24,1,Bird,,Malabar Grey Hornbill,1,15,S,"Male. With Mesospis fruit, flying towards B02. Possibly nesting there."
2024 Summer,2024-Apr-25,A02,06:24,1,Bird,,White-throated Kingfisher,1,5,S,
2024 Summer,2024-Apr-25,A02,06:24,2,Bird,,Nilgiri Flowerpecker,1,5,H,
2024 Summer,2024-Apr-25,A02,06:24,2,Bird,,Indian Peafowl,2,30,H,
2024 Summer,2024-Apr-25,A02,06:24,2,Mammal,,JUNGLE STRIPED SQUIRREL,1,20,S,In tea
2024 Summer,2024-Apr-25,A02,06:24,2,Bird,,Common Tailorbird,1,50,H,In tea
2024 Summer,2024-Apr-25,A02,06:24,2,Bird,,Indian Scimitar-Babbler,1,50,H,
2024 Summer,2024-Apr-25,A02,06:24,2,Bird,,Large-billed Crow,2,50,F,OC
2024 Summer,2024-Apr-25,A02,06:24,2,Bird,,Jungle Owlet,1,50,H,
2024 Summer,2024-Apr-25,A02,06:24,2,Mammal,,NILGIRI LANGUR,1,50,H,
2024 Summer,2024-Apr-25,A01,06:42,1,Bird,,Brown Fish-Owl,1,30,S,E
2024 Summer,2024-Apr-25,A01,06:42,1,Mammal,,MALABAR GIANT SQUIRREL,1,50,H,
2024 Summer,2024-Apr-25,A01,06:42,1,Mammal,,NILGIRI LANGUR,1,50,H,
2024 Summer,2024-Apr-25,A01,06:42,1,Bird,,Grey-breasted Prinia,1,30,H,In tea
2024 Summer,2024-Apr-25,A01,06:42,1,Bird,,Red-whiskered Bulbul,2,30,H,In tea
2024 Summer,2024-Apr-25,A01,06:42,1,Bird,,Red-whiskered Bulbul,2,15,H,
2024 Summer,2024-Apr-25,A01,06:42,1,Bird,,Indian Scimitar-Babbler,2,30,H,
2024 Summer,2024-Apr-25,A01,06:42,1,Bird,,Common Tailorbird,1,30,H,In tea
2024 Summer,2024-Apr-25,A01,06:42,1,Bird,,Oriental Magpie-Robin,1,30,H,In tea
2024 Summer,2024-Apr-25,A01,06:42,1,Bird,,Grey Junglefowl,1,30,H,In tea
2024 Summer,2024-Apr-25,A01,06:42,1,Bird,,Grey Junglefowl,1,50,H,
2024 Summer,2024-Apr-25,A01,06:42,1,Bird,,White-cheeked Barbet (Small Green Barbet),1,50,H,
2024 Summer,2024-Apr-25,A01,06:42,1,Bird,,Malabar Imperial-Pigeon,1,50,H,
2024 Summer,2024-Apr-25,A01,06:42,1,Bird,,Large-billed Crow,1,50,H,
2024 Summer,2024-Apr-25,A01,06:42,1,Bird,,Oriental Magpie-Robin,1,50,H,In tea
2024 Summer,2024-Apr-25,A01,06:42,1,Bird,,Nilgiri Flowerpecker,1,20,H,
2024 Summer,2024-Apr-25,A01,06:42,1,Bird,,Vernal Hanging-Parrot (Indian Lorikeet),1,30,H,
2024 Summer,2024-Apr-25,A01,06:42,1,Bird,,Malabar Whistling-Thrush,1,50,H,
2024 Summer,2024-Apr-25,A01,06:42,1,Bird,,White-cheeked Barbet (Small Green Barbet),2,0,S,Feeding on Ficus
2024 Summer,2024-Apr-25,A01,06:42,1,Bird,,Puff-throated Babbler,1,30,H,
2024 Summer,2024-Apr-25,A01,06:42,1,Mammal,,JUNGLE STRIPED SQUIRREL,1,30,H,In tea
2024 Summer,2024-Apr-25,A01,06:42,2,Bird,,Indian White-eye (Oriental White-eye),1,50,H,
2024 Summer,2024-Apr-25,A01,06:42,2,Bird,,Indian Peafowl,1,50,H,In tea
2024 Summer,2024-Apr-25,A01,06:42,2,Bird,,Vernal Hanging-Parrot (Indian Lorikeet),1,50,H,
2024 Summer,2024-Apr-25,A01,06:42,2,Bird,,Southern Hill Myna,1,50,H,
2024 Summer,2024-Apr-25,B01,07:00,1,Bird,,Orange-headed Thrush,1,30,H,In tea. Singing
2024 Summer,2024-Apr-25,B01,07:00,1,Bird,,Oriental Magpie-Robin,1,50,H,In tea. Singing
2024 Summer,2024-Apr-25,B01,07:00,1,Bird,,Red-whiskered Bulbul,2,30,H,In tea.
2024 Summer,2024-Apr-25,B01,07:00,1,Bird,,White-cheeked Barbet (Small Green Barbet),1,30,H,
2024 Summer,2024-Apr-25,B01,07:00,1,Mammal,,NILGIRI LANGUR,1,50,H,
2024 Summer,2024-Apr-25,B01,07:00,1,Bird,,Common Tailorbird,1,30,H,In tea
2024 Summer,2024-Apr-25,B01,07:00,1,Bird,,Nilgiri Flowerpecker,1,30,F,UC
2024 Summer,2024-Apr-25,B01,07:00,1,Bird,,Southern Hill Myna,1,30,H,
2024 Summer,2024-Apr-25,B01,07:00,1,Bird,,Yellow-browed Bulbul,1,50,H,
2024 Summer,2024-Apr-25,B01,07:00,2,Bird,,Greater Racket-tailed Drongo,1,50,H,
2024 Summer,2024-Apr-25,B01,07:00,2,Bird,,White-cheeked Barbet (Small Green Barbet),1,50,H,
2024 Summer,2024-Apr-25,B01,07:00,2,Bird,,Greater Coucal,1,50,H,
2024 Summer,2024-Apr-25,B01,07:00,2,Bird,,Rufous Babbler,1,30,H,"GP, In  tea"
2024 Summer,2024-Apr-25,B01,07:00,2,Bird,,Southern Hill Myna,1,0,F,UC
2024 Summer,2024-Apr-25,B01,07:00,2,Bird,,Puff-throated Babbler,1,30,H,In tea
2024 Summer,2024-Apr-25,C01,07:17,1,Bird,,Grey-fronted Green-Pigeon (Pompadour Green-Pigeon),1,30,H,
2024 Summer,2024-Apr-25,C01,07:17,1,Bird,,Common Tailorbird,1,50,H,In tea
2024 Summer,2024-Apr-25,C01,07:17,1,Bird,,Malabar Whistling-Thrush,1,30,H,
2024 Summer,2024-Apr-25,C01,07:17,1,Bird,,Malabar Grey Hornbill,1,50,H,
2024 Summer,2024-Apr-25,C01,07:17,1,Bird,,Red-whiskered Bulbul,4,30,S,In tea
2024 Summer,2024-Apr-25,C01,07:17,1,Bird,,Greater Racket-tailed Drongo,1,30,H,
2024 Summer,2024-Apr-25,C01,07:17,1,Mammal,,NILGIRI LANGUR,1,50,H,
2024 Summer,2024-Apr-25,C01,07:17,1,Bird,,Plum-headed Parakeet,1,50,H,
2024 Summer,2024-Apr-25,C01,07:17,2,Bird,,Crimson-backed Sunbird (Small Sunbird),1,30,H,
2024 Summer,2024-Apr-25,C01,07:17,2,Mammal,,MALABAR GIANT SQUIRREL,1,50,H,
2024 Summer,2024-Apr-25,C01,07:17,2,Bird,,Puff-throated Babbler,1,50,H,
2024 Summer,2024-Apr-25,C01,07:17,2,Bird,,Grey Junglefowl,1,50,H,
2024 Summer,2024-Apr-25,C01,07:17,2,Bird,,Orange-headed Thrush,1,30,H,Call
2024 Summer,2024-Apr-25,C02,07:34,1,Bird,,Greater Racket-tailed Drongo,1,50,H,
2024 Summer,2024-Apr-25,C02,07:34,1,Bird,,Brown Hawk-Owl,1,30,H,Call
2024 Summer,2024-Apr-25,C02,07:34,1,Bird,,Great Hornbill (Great Pied Hornbill),1,30,H,
2024 Summer,2024-Apr-25,C02,07:34,1,Bird,,Jungle Owlet,1,30,H,
2024 Summer,2024-Apr-25,C02,07:34,1,Bird,,Malabar Imperial-Pigeon,1,30,H,
