serialNumber,taxaType,eBirdIndiaName2023,eBirdEnglishName2023,eBirdScientificName2023
1,MAMMALS,STRIPE-NECKED MONGOOSE,NA,NA
2,MAMMALS,GAUR,NA,NA
3,MAMMALS,JUNGLE STRIPED SQUIRREL,NA,NA
4,MAMMALS,MALABAR GIANT SQUIRREL,NA,NA
5,MAMMALS,DUSKY-STRIPED SQUIRREL,NA,NA
6,MAMMALS,BONNET MACAQUE,NA,NA
7,MAMMALS,WILD BOAR,NA,NA
8,MAMMALS,NILGIRI LANGUR,NA,NA
9,MAMMALS,BLACK-NAPED HARE,NA,NA
10,MAMMALS,INDIAN MUNTJAC,NA,NA
11,MAMMALS,LION-TAILED MACAQUE,NA,NA
12,MAMMALS,SAMBAR,NA,NA
13,MAMMALS,MOUSE DEER,NA,NA
14,MAMMALS,ASIAN ELEPHANT,NA,NA
15,Unidentified species,bird sp.,bird sp.,Aves sp.
16,NILOBSERVATION,NA,NA,NA
1398,species,Abbott's Babbler,Abbott's Babbler,Malacocincla abbotti
1299,species,Aberrant Bush Warbler,Aberrant Bush Warbler,Horornis flavolivaceus
1764,spuh,accentor sp.,accentor sp.,Prunella sp.
672,spuh,Accipiter hawk/goshawk/sparrowhawk sp.,Accipiter sp.,Accipiter sp.
XXX,spuh,Accipitrine hawk sp. (former Accipiter sp.) - Aerospiza/Tachyspiza/Accipiter/Astur sp.,NA,Accipitrine hawk sp. (former Accipiter sp.) - Aerospiza/Tachyspiza/Accipiter/Astur sp.
1518,spuh,Acridotheres myna sp.,Acridotheres sp.,Acridotheres sp.
1144,spuh,Acrocephalus warbler sp.,Acrocephalus sp.,Acrocephalus sp.
1725,spuh,Aethopyga sunbird sp.,Aethopyga sp.,Aethopyga sp.
872,species,Alexandrine Parakeet,Alexandrine Parakeet,Psittacula eupatria
874,slash,Alexandrine/Rose-ringed Parakeet,Alexandrine/Rose-ringed Parakeet,Psittacula eupatria/krameri
1757,species,Alpine Accentor,Alpine Accentor,Prunella collaris
271,species,Alpine Swift,Alpine Swift,Tachymarptis melba
1523,species,Alpine Thrush,Alpine Thrush,Zoothera mollissima
1525,slash,Alpine/Himalayan Thrush,Alpine/Himalayan Thrush,Zoothera mollissima/salimalii
1758,species,Altai Accentor (Himalayan Accentor),Altai Accentor,Prunella himalayana
333,species,American Golden-Plover,American Golden-Plover,Pluvialis dominica
335,slash,American/Pacific Golden-Plover (Lesser Golden-Plover),American/Pacific Golden-Plover (Lesser Golden-Plover),Pluvialis dominica/fulva
1064,spuh,Ammomanes lark sp.,Ammomanes sp.,Ammomanes sp.
859,species,Amur Falcon,Amur Falcon,Falco amurensis
862,slash,Amur Falcon/Eurasian Hobby,Amur Falcon/Eurasian Hobby,Falco amurensis/subbuteo
981,species,Amur Paradise-Flycatcher,Amur Paradise-Flycatcher,Terpsiphone incei
1676,species,Amur Stonechat (Stejneger's Stonechat),Amur Stonechat,Saxicola stejnegeri
983,slash,Amur/Blyth's Paradise-Flycatcher,Amur/Blyth's Paradise-Flycatcher,Terpsiphone incei/affinis
986,slash,Amur/Blyth's/Indian Paradise-Flycatcher,Amur/Blyth's/Indian Paradise-Flycatcher,Terpsiphone incei/affinis/paradisi
56,spuh,Anas duck sp.,Anas sp.,Anas sp.
1211,species,Andaman Bulbul,Andaman Bulbul,Microtarsus fuscoflavescens
204,species,Andaman Coucal,Andaman Coucal,Centropus andamanensis
305,species,Andaman Crake,Andaman Crake,Rallina canningi
