"common_name","t_value","slope","pearson","slope_dir","r_sq","year_season"
"Brown-cheeked Fulvetta",-0.748276820708084,-0.0170036764705882,-0.396590478142052,"-",-0.123621323529411,"2024 Summer"
"Little Spiderhunter",-2.82842712474619,-1.14285714285714,-0.755928946018454,"-",0.5,"2024 Summer"
"Great Hornbill",1.27789715661282,0.00788058946303206,0.323202302612827,"+",0.0404925661581074,"2024 Summer"
"Golden-fronted Leafbird",NA,NA,NA,NA,0,"2024 Summer"
"Malabar Flameback",0.503583839827763,0.0353982300884956,0.138326347548881,"+",-0.0563170386179235,"2024 Summer"
"Purple Sunbird",NA,NA,NA,NA,0,"2024 Summer"
"Oriental Magpie-Robin",-0.509175077217315,-0.125,-0.188982236504614,"-",-0.102040816326531,"2024 Summer"
"Large-billed Crow",1.68065106414543,0.0586193598148862,0.351783998828012,"+",0.0799395809229972,"2024 Summer"
"White-bellied Blue Flycatcher",-0.301511344577763,-1.22739773543171e-17,NA,"-",0.410187667560322,"2024 Summer"
"White-bellied Treepie",0.882659865823285,0.0392776523702032,0.159098286794037,"+",-0.00717732631050927,"2024 Summer"
"Nilgiri Flowerpecker",5.85877302811689,0.134137121483427,0.562913780859549,"+",0.307640464204316,"2024 Summer"
"Greater Racket-tailed Drongo",5.12578159745566,0.064348186861353,0.514449952033688,"+",0.25458558538236,"2024 Summer"
"Southern Hill Myna",3.50439743793776,0.0954997105353325,0.388704318501839,"+",0.138788018920848,"2024 Summer"
"White-throated Kingfisher",-0.38586041963299,-6.25945519417429e-18,NA,"-",0.469300497577461,"2024 Summer"
"Malabar Trogon",-1.9364916731037,-0.333333333333333,-0.522232967867094,"-",0.2,"2024 Summer"
"Heart-spotted Woodpecker",NA,NA,NA,NA,0,"2024 Summer"
"Square-tailed Bulbul",-2.12397697621437,-0.655737704918033,-0.522708373489317,"-",0.212659380692168,"2024 Summer"
"Yellow-browed Bulbul",4.43701777105196,0.0464889094669573,0.440005576018984,"+",0.183770820426918,"2024 Summer"
"Asian Fairy-bluebird",3.17149789372215,0.048444070647603,0.472472515120356,"+",0.201036856902559,"2024 Summer"
"Crimson-backed Sunbird",NA,NA,NA,NA,0,"2024 Summer"
"Vernal Hanging-Parrot",-1.43486010795888,-0.555555555555556,-0.261711961295107,"-",0.0352250489236789,"2024 Summer"
"Indian Yellow Tit",NA,NA,NA,NA,0,"2024 Summer"
"Malabar Whistling-Thrush",2.60352898780216,0.0288863272427589,0.318599091150983,"+",0.0865304705636032,"2024 Summer"
"Common Tailorbird",0.746797967135722,0.0300525920360631,0.17335683440829,"+",-0.0238333750730444,"2024 Summer"
"Indian Peafowl",3.22533457900134,0.260674157303371,0.549892737242374,"+",0.273314606741573,"2024 Summer"
"Stork-billed Kingfisher",-0.397265665188221,-5.1551926936362e-18,NA,"-",0.50141442518769,"2024 Summer"
"Puff-throated Babbler",-0.335060780277052,-9.89258050761192e-18,NA,"-",0.46865506085349,"2024 Summer"
"Small Minivet",-3.08957190326662,-0.375,-0.810092587300983,"-",0.5875,"2024 Summer"
"Orange Minivet",0.979830002475452,0.764705882352941,0.165716062753927,"+",-0.00114225085549324,"2024 Summer"
"Large-billed Leaf Warbler",-3677173697615391,-1,-1,"-",1,"2024 Summer"
"Greenish Warbler",-0.49763902553753,-0.058659217877095,-0.163643539931409,"-",-0.0813564353763527,"2024 Summer"
"Indian Scimitar-Babbler",1.14715608642738,0.0198442290164885,0.151525142593293,"+",0.0055127236385949,"2024 Summer"
"Malabar Barbet",0.336863205235229,0.00412676919108878,0.0501534054514537,"+",-0.0196509611643247,"2024 Summer"
"White-cheeked Barbet",1.78590570837523,0.0166855879541109,0.211665793269118,"+",0.030755384629072,"2024 Summer"
"Plum-headed Parakeet",0.377964473009228,0.0555555555555556,0.166666666666667,"+",-0.166666666666667,"2024 Summer"
"Red-whiskered Bulbul",5.37813886630576,0.450866116237656,0.677988843127378,"+",0.443776779387706,"2024 Summer"
"Velvet-fronted Nuthatch",0.77796717399407,0.114730878186969,0.134201638273891,"+",-0.0117471905962583,"2024 Summer"
"Spotted Dove",-0.408248290463863,-2.17558392881683e-17,NA,"-",0.27710843373494,"2024 Summer"
"Malabar Woodshrike",1.61892220038799,0.98936170212766,0.397098815452419,"+",0.097522288464694,"2024 Summer"
"Eurasian Hoopoe",-11031521092846174,-1,-1,"-",1,"2024 Summer"
"Brown-capped Pygmy Woodpecker",NA,NA,NA,NA,0,"2024 Summer"
"Indian White-eye",1.8535285905142,1.10869565217391,0.347590848546551,"+",0.0856521739130435,"2024 Summer"
"Brown-cheeked Fulvetta",0.948004922013755,0.0306686777275013,0.198109386047428,"+",-0.00442324712172515,"2024 Winter"
"Little Spiderhunter",2.13167913721928,0.105947955390335,0.579225222807208,"+",0.261668731928955,"2024 Winter"
"Great Hornbill",NA,NA,NA,NA,0,"2024 Winter"
"Golden-fronted Leafbird",-3.60555127546399,-1.08333333333333,-0.735980072193987,"-",0.5,"2024 Winter"
"Malabar Flameback",1.90652082683166,0.0249075109696292,0.467447110140837,"+",0.158391939300483,"2024 Winter"
"Purple Sunbird",2.12132034355964,0.428571428571429,0.654653670707977,"+",0.333333333333333,"2024 Winter"
"Large-billed Crow",10.5820694003971,0.0437455663277369,0.884978390694701,"+",0.776192776254537,"2024 Winter"
"White-bellied Blue Flycatcher",NA,NA,NA,NA,0,"2024 Winter"
"White-bellied Treepie",NA,NA,NA,NA,0,"2024 Winter"
"Nilgiri Flowerpecker",2.77968392755465,0.0648869587431344,0.296776604226701,"+",0.0766773072265364,"2024 Winter"
"Greater Racket-tailed Drongo",3.41494390905154,0.0470290527643031,0.397889325075621,"+",0.144740365251216,"2024 Winter"
"Southern Hill Myna",1.96194846226266,0.0344183025051651,0.218197424067392,"+",0.0352414160757447,"2024 Winter"
"White-throated Kingfisher",-0.408248290463863,-5.43895982204208e-17,NA,"-",0.27710843373494,"2024 Winter"
