seasonYear,date,gridID,start_time,timeSeg,birdMamm,common_name,number,distance,HSF,remarks,scientific_name
2024 Summer,2024-Apr-25,B02,6:08,1,Bird,Puff-throated Babbler,1,30,H,,Pellorneum ruficeps
2024 Summer,2024-Apr-25,B02,6:08,1,Bird,Greater Racket-tailed Drongo,1,30,H,,Dicrurus paradiseus
2024 Summer,2024-Apr-25,B02,6:08,1,Bird,Malabar Grey Hornbill,1,10,S,Male,Ocyceros griseus
2024 Summer,2024-Apr-25,B02,6:08,1,Bird,Indian Scimitar-Babbler,1,30,H,,Pomatorhinus horsfieldii
2024 Summer,2024-Apr-25,B02,6:08,1,Bird,Yellow-browed Bulbul,2,30,H,,Iole indica
2024 Summer,2024-Apr-25,B02,6:08,1,Bird,Malabar Whistling-Thrush,1,30,H,,Myophonus horsfieldii
2024 Summer,2024-Apr-25,B02,6:08,1,Bird,Greater Coucal,1,30,H,,Centropus sinensis
2024 Summer,2024-Apr-25,B02,6:08,1,Bird,Indian Swiftlet,2,0,F,OC,Aerodramus unicolor
2024 Summer,2024-Apr-25,B02,6:08,1,Bird,White-bellied Treepie,1,20,H,,Dendrocitta leucogastra
2024 Summer,2024-Apr-25,B02,6:08,1,Bird,Malabar Imperial-Pigeon,1,50,H,,Ducula cuprea
2024 Summer,2024-Apr-25,B02,6:08,1,Bird,Red-whiskered Bulbul,2,30,H,,Pycnonotus jocosus
2024 Summer,2024-Apr-25,B02,6:08,1,Bird,Square-tailed Bulbul,1,50,H,,Hypsipetes ganeesa
2024 Summer,2024-Apr-25,B02,6:08,1,Bird,Spotted Dove,1,50,H,From tea,Streptopelia chinensis
2024 Summer,2024-Apr-25,B02,6:08,1,Bird,Grey Junglefowl,1,50,H,,Gallus sonneratii
2024 Summer,2024-Apr-25,B02,6:08,1,Bird,Great Hornbill,1,50,H,,Buceros bicornis
2024 Summer,2024-Apr-25,B02,6:08,2,Bird,Grey Junglefowl,1,30,H,,Gallus sonneratii
2024 Summer,2024-Apr-25,B02,6:08,2,Bird,Malabar Grey Hornbill,1,50,H,,Ocyceros griseus
2024 Summer,2024-Apr-25,B02,6:08,2,Bird,Greater Racket-tailed Drongo,1,50,H,,Dicrurus paradiseus
2024 Summer,2024-Apr-25,B02,6:08,2,Bird,Vernal Hanging-Parrot,1,50,F,OC,Loriculus vernalis
2024 Summer,2024-Apr-25,B02,6:08,2,Bird,Indian Peafowl,1,50,H,From tea,Pavo cristatus
2024 Summer,2024-Apr-25,B02,6:08,2,Bird,Malabar Barbet,1,50,H,,Psilopogon malabaricus
2024 Summer,2024-Apr-25,B02,6:08,2,Bird,Malabar Imperial-Pigeon,2,30,S,,Ducula cuprea
2024 Summer,2024-Apr-25,A02,6:24,1,Bird,Red-whiskered Bulbul,2,20,H,,Pycnonotus jocosus
2024 Summer,2024-Apr-25,A02,6:24,1,Bird,Puff-throated Babbler,1,30,H,,Pellorneum ruficeps
2024 Summer,2024-Apr-25,A02,6:24,1,Bird,Jungle Myna,3,20,H,From tea,Acridotheres fuscus
2024 Summer,2024-Apr-25,A02,6:24,1,Bird,Oriental Magpie-Robin,1,20,H,From tea,Copsychus saularis
2024 Summer,2024-Apr-25,A02,6:24,1,Bird,Malabar Whistling-Thrush,1,30,H,,Myophonus horsfieldii
2024 Summer,2024-Apr-25,A02,6:24,1,Bird,Red-whiskered Bulbul,5,15,S,,Pycnonotus jocosus
2024 Summer,2024-Apr-25,A02,6:24,1,Bird,Black-naped Monarch,1,30,H,,Hypothymis azurea
2024 Summer,2024-Apr-25,A02,6:24,1,Bird,Yellow-browed Bulbul,2,30,H,,Iole indica
2024 Summer,2024-Apr-25,A02,6:24,1,Bird,Oriental Magpie-Robin,1,15,S,,Copsychus saularis
2024 Summer,2024-Apr-25,A02,6:24,1,Bird,Malabar Grey Hornbill,1,15,S,"Male. With Mesospis fruit, flying towards B02. Possibly nesting there.",Ocyceros griseus
2024 Summer,2024-Apr-25,A02,6:24,1,Bird,White-throated Kingfisher,1,5,S,,Halcyon smyrnensis
2024 Summer,2024-Apr-25,A02,6:24,2,Bird,Nilgiri Flowerpecker,1,5,H,,Dicaeum concolor
2024 Summer,2024-Apr-25,A02,6:24,2,Bird,Indian Peafowl,2,30,H,,Pavo cristatus
2024 Summer,2024-Apr-25,A02,6:24,2,Bird,Common Tailorbird,1,50,H,In tea,Orthotomus sutorius
2024 Summer,2024-Apr-25,A02,6:24,2,Bird,Indian Scimitar-Babbler,1,50,H,,Pomatorhinus horsfieldii
2024 Summer,2024-Apr-25,A02,6:24,2,Bird,Large-billed Crow,2,50,F,OC,Corvus macrorhynchos
2024 Summer,2024-Apr-25,A02,6:24,2,Bird,Jungle Owlet,1,50,H,,Glaucidium radiatum
2024 Summer,2024-Apr-25,A01,6:42,1,Bird,Brown Fish-Owl,1,30,S,E,Ketupa zeylonensis
2024 Summer,2024-Apr-25,A01,6:42,1,Bird,Grey-breasted Prinia,1,30,H,In tea,Prinia hodgsonii
2024 Summer,2024-Apr-25,A01,6:42,1,Bird,Red-whiskered Bulbul,2,30,H,In tea,Pycnonotus jocosus
2024 Summer,2024-Apr-25,A01,6:42,1,Bird,Red-whiskered Bulbul,2,15,H,,Pycnonotus jocosus
2024 Summer,2024-Apr-25,A01,6:42,1,Bird,Indian Scimitar-Babbler,2,30,H,,Pomatorhinus horsfieldii
2024 Summer,2024-Apr-25,A01,6:42,1,Bird,Common Tailorbird,1,30,H,In tea,Orthotomus sutorius
2024 Summer,2024-Apr-25,A01,6:42,1,Bird,Oriental Magpie-Robin,1,30,H,In tea,Copsychus saularis
2024 Summer,2024-Apr-25,A01,6:42,1,Bird,Grey Junglefowl,1,30,H,In tea,Gallus sonneratii
2024 Summer,2024-Apr-25,A01,6:42,1,Bird,Grey Junglefowl,1,50,H,,Gallus sonneratii
2024 Summer,2024-Apr-25,A01,6:42,1,Bird,White-cheeked Barbet,1,50,H,,Psilopogon viridis
2024 Summer,2024-Apr-25,A01,6:42,1,Bird,Malabar Imperial-Pigeon,1,50,H,,Ducula cuprea
2024 Summer,2024-Apr-25,A01,6:42,1,Bird,Large-billed Crow,1,50,H,,Corvus macrorhynchos
2024 Summer,2024-Apr-25,A01,6:42,1,Bird,Oriental Magpie-Robin,1,50,H,In tea,Copsychus saularis
2024 Summer,2024-Apr-25,A01,6:42,1,Bird,Nilgiri Flowerpecker,1,20,H,,Dicaeum concolor
2024 Summer,2024-Apr-25,A01,6:42,1,Bird,Vernal Hanging-Parrot,1,30,H,,Loriculus vernalis
