"common_name","cumulative_abundance","scientific_name","scientific_name_birdNET","combined_name"
"Yellow-browed Bulbul",344,"Acritillas indica","Iole indica","Iole indica_Yellow-browed Bulbul"
"Southern Hill Myna",312,"Gracula indica","Gracula indica","Gracula indica_Southern Hill Myna"
"Greater Racket-tailed Drongo",229,"Dicrurus paradiseus","Dicrurus paradiseus","Dicrurus paradiseus_Greater Racket-tailed Drongo"
"Nilgiri Flowerpecker",222,"Dicaeum concolor","Dicaeum concolor","Dicaeum concolor_Nilgiri Flowerpecker"
"Crimson-backed Sunbird",214,"Leptocoma minima","Leptocoma minima","Leptocoma minima_Crimson-backed Sunbird"
"Vernal Hanging-Parrot",171,"Loriculus vernalis","Loriculus vernalis","Loriculus vernalis_Vernal Hanging-Parrot"
"Red-whiskered Bulbul",170,"Pycnonotus jocosus","Pycnonotus jocosus","Pycnonotus jocosus_Red-whiskered Bulbul"
"White-cheeked Barbet",169,"Psilopogon viridis","Psilopogon viridis","Psilopogon viridis_White-cheeked Barbet"
"Velvet-fronted Nuthatch",156,"Sitta frontalis","Sitta frontalis","Sitta frontalis_Velvet-fronted Nuthatch"
"Orange Minivet",149,"Pericrocotus flammeus","Pericrocotus flammeus","Pericrocotus flammeus_Orange Minivet"
"Indian Scimitar-Babbler",124,"Pomatorhinus horsfieldii","Pomatorhinus horsfieldii","Pomatorhinus horsfieldii_Indian Scimitar-Babbler"
"Green Warbler",109,"Phylloscopus nitidus","Phylloscopus nitidus","Phylloscopus nitidus_Green Warbler"
"Grey Junglefowl",109,"Gallus sonneratii","Gallus sonneratii","Gallus sonneratii_Grey Junglefowl"
"Square-tailed Bulbul",106,"Hypsipetes ganeesa","Hypsipetes ganeesa","Hypsipetes ganeesa_Square-tailed Bulbul"
"Asian Fairy-bluebird",99,"Irena puella","Irena puella","Irena puella_Asian Fairy-bluebird"
"Malabar Woodshrike",98,"Tephrodornis sylvicola","Tephrodornis sylvicola","Tephrodornis sylvicola_Malabar Woodshrike"
"Chestnut-headed Bee-eater",97,"Merops leschenaulti","Merops leschenaulti","Merops leschenaulti_Chestnut-headed Bee-eater"
"Indian White-eye",95,"Zosterops palpebrosus","Zosterops palpebrosus","Zosterops palpebrosus_Indian White-eye"
"Malabar Barbet",85,"Psilopogon malabaricus","Psilopogon malabaricus","Psilopogon malabaricus_Malabar Barbet"
"Malabar Whistling-Thrush",84,"Myophonus horsfieldii","Myophonus horsfieldii","Myophonus horsfieldii_Malabar Whistling-Thrush"
"Malabar Imperial-Pigeon",82,"Ducula cuprea",NA,"NA_Malabar Imperial-Pigeon"
"Malabar Grey Hornbill",76,"Ocyceros griseus","Ocyceros griseus","Ocyceros griseus_Malabar Grey Hornbill"
"Large-billed Leaf Warbler",70,"Phylloscopus magnirostris","Phylloscopus magnirostris","Phylloscopus magnirostris_Large-billed Leaf Warbler"
"Greenish Warbler",62,"Phylloscopus trochiloides","Phylloscopus trochiloides","Phylloscopus trochiloides_Greenish Warbler"
"Large-billed Crow",61,"Corvus macrorhynchos","Corvus macrorhynchos","Corvus macrorhynchos_Large-billed Crow"
"White-bellied Treepie",60,"Dendrocitta leucogastra","Dendrocitta leucogastra","Dendrocitta leucogastra_White-bellied Treepie"
"Grey-fronted Green-Pigeon",54,"Treron affinis","Treron affinis","Treron affinis_Grey-fronted Green-Pigeon"
"Bar-winged Flycatcher-shrike",40,"Hemipus picatus","Hemipus picatus","Hemipus picatus_Bar-winged Flycatcher-shrike"
"Greater Coucal",38,"Centropus sinensis","Centropus sinensis","Centropus sinensis_Greater Coucal"
"Indian Peafowl",36,"Pavo cristatus","Pavo cristatus","Pavo cristatus_Indian Peafowl"
