"year_season","date","gridID","start_time","time_segment","common_name","number","distance","HSF","remarks","scientific_name","dataType"
"2024 Summer","2024-Apr-25","B02","6:08","1","Puff-throated Babbler",1,30,"H","","Pellorneum ruficeps","point_count"
"2024 Summer","2024-Apr-25","B02","6:08","1","Greater Racket-tailed Drongo",1,30,"H","","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-25","B02","6:08","1","Indian Scimitar-Babbler",1,30,"H","","Pomatorhinus horsfieldii","point_count"
"2024 Summer","2024-Apr-25","B02","6:08","1","Yellow-browed Bulbul",2,30,"H","","Iole indica","point_count"
"2024 Summer","2024-Apr-25","B02","6:08","1","Malabar Whistling-Thrush",1,30,"H","","Myophonus horsfieldii","point_count"
"2024 Summer","2024-Apr-25","B02","6:08","1","White-bellied Treepie",1,20,"H","","Dendrocitta leucogastra","point_count"
"2024 Summer","2024-Apr-25","B02","6:08","1","Red-whiskered Bulbul",2,30,"H","","Pycnonotus jocosus","point_count"
"2024 Summer","2024-Apr-25","B02","6:08","1","Square-tailed Bulbul",1,50,"H","","Hypsipetes ganeesa","point_count"
"2024 Summer","2024-Apr-25","B02","6:08","1","Spotted Dove",1,50,"H","From tea","Streptopelia chinensis","point_count"
"2024 Summer","2024-Apr-25","B02","6:08","1","Great Hornbill",1,50,"H","","Buceros bicornis","point_count"
"2024 Summer","2024-Apr-25","B02","6:08","2","Greater Racket-tailed Drongo",1,50,"H","","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-25","B02","6:08","2","Vernal Hanging-Parrot",1,50,"F","OC","Loriculus vernalis","point_count"
"2024 Summer","2024-Apr-25","B02","6:08","2","Indian Peafowl",1,50,"H","From tea","Pavo cristatus","point_count"
"2024 Summer","2024-Apr-25","B02","6:08","2","Malabar Barbet",1,50,"H","","Psilopogon malabaricus","point_count"
"2024 Summer","2024-Apr-25","A02","6:24","1","Red-whiskered Bulbul",2,20,"H","","Pycnonotus jocosus","point_count"
"2024 Summer","2024-Apr-25","A02","6:24","1","Puff-throated Babbler",1,30,"H","","Pellorneum ruficeps","point_count"
"2024 Summer","2024-Apr-25","A02","6:24","1","Oriental Magpie-Robin",1,20,"H","From tea","Copsychus saularis","point_count"
"2024 Summer","2024-Apr-25","A02","6:24","1","Malabar Whistling-Thrush",1,30,"H","","Myophonus horsfieldii","point_count"
"2024 Summer","2024-Apr-25","A02","6:24","1","Red-whiskered Bulbul",5,15,"S","","Pycnonotus jocosus","point_count"
"2024 Summer","2024-Apr-25","A02","6:24","1","Yellow-browed Bulbul",2,30,"H","","Iole indica","point_count"
"2024 Summer","2024-Apr-25","A02","6:24","1","Oriental Magpie-Robin",1,15,"S","","Copsychus saularis","point_count"
"2024 Summer","2024-Apr-25","A02","6:24","1","White-throated Kingfisher",1,5,"S","","Halcyon smyrnensis","point_count"
"2024 Summer","2024-Apr-25","A02","6:24","2","Nilgiri Flowerpecker",1,5,"H","","Dicaeum concolor","point_count"
"2024 Summer","2024-Apr-25","A02","6:24","2","Indian Peafowl",2,30,"H","","Pavo cristatus","point_count"
"2024 Summer","2024-Apr-25","A02","6:24","2","Common Tailorbird",1,50,"H","In tea","Orthotomus sutorius","point_count"
"2024 Summer","2024-Apr-25","A02","6:24","2","Indian Scimitar-Babbler",1,50,"H","","Pomatorhinus horsfieldii","point_count"
"2024 Summer","2024-Apr-25","A02","6:24","2","Large-billed Crow",2,50,"F","OC","Corvus macrorhynchos","point_count"
"2024 Summer","2024-Apr-25","A01","6:42","1","Red-whiskered Bulbul",2,30,"H","In tea","Pycnonotus jocosus","point_count"
"2024 Summer","2024-Apr-25","A01","6:42","1","Red-whiskered Bulbul",2,15,"H","","Pycnonotus jocosus","point_count"
"2024 Summer","2024-Apr-25","A01","6:42","1","Indian Scimitar-Babbler",2,30,"H","","Pomatorhinus horsfieldii","point_count"
"2024 Summer","2024-Apr-25","A01","6:42","1","Common Tailorbird",1,30,"H","In tea","Orthotomus sutorius","point_count"
"2024 Summer","2024-Apr-25","A01","6:42","1","Oriental Magpie-Robin",1,30,"H","In tea","Copsychus saularis","point_count"
"2024 Summer","2024-Apr-25","A01","6:42","1","White-cheeked Barbet",1,50,"H","","Psilopogon viridis","point_count"
"2024 Summer","2024-Apr-25","A01","6:42","1","Large-billed Crow",1,50,"H","","Corvus macrorhynchos","point_count"
"2024 Summer","2024-Apr-25","A01","6:42","1","Oriental Magpie-Robin",1,50,"H","In tea","Copsychus saularis","point_count"
"2024 Summer","2024-Apr-25","A01","6:42","1","Nilgiri Flowerpecker",1,20,"H","","Dicaeum concolor","point_count"
"2024 Summer","2024-Apr-25","A01","6:42","1","Vernal Hanging-Parrot",1,30,"H","","Loriculus vernalis","point_count"
"2024 Summer","2024-Apr-25","A01","6:42","1","Malabar Whistling-Thrush",1,50,"H","","Myophonus horsfieldii","point_count"
"2024 Summer","2024-Apr-25","A01","6:42","1","White-cheeked Barbet",2,0,"S","Feeding on Ficus","Psilopogon viridis","point_count"
"2024 Summer","2024-Apr-25","A01","6:42","1","Puff-throated Babbler",1,30,"H","","Pellorneum ruficeps","point_count"
"2024 Summer","2024-Apr-25","A01","6:42","2","Indian White-eye",1,50,"H","","Zosterops palpebrosus","point_count"
"2024 Summer","2024-Apr-25","A01","6:42","2","Indian Peafowl",1,50,"H","In tea","Pavo cristatus","point_count"
"2024 Summer","2024-Apr-25","A01","6:42","2","Vernal Hanging-Parrot",1,50,"H","","Loriculus vernalis","point_count"
"2024 Summer","2024-Apr-25","A01","6:42","2","Southern Hill Myna",1,50,"H","","Gracula indica","point_count"
"2024 Summer","2024-Apr-25","B01","7:00","1","Oriental Magpie-Robin",1,50,"H","In tea. Singing","Copsychus saularis","point_count"
"2024 Summer","2024-Apr-25","B01","7:00","1","Red-whiskered Bulbul",2,30,"H","In tea.","Pycnonotus jocosus","point_count"
"2024 Summer","2024-Apr-25","B01","7:00","1","White-cheeked Barbet",1,30,"H","","Psilopogon viridis","point_count"
"2024 Summer","2024-Apr-25","B01","7:00","1","Common Tailorbird",1,30,"H","In tea","Orthotomus sutorius","point_count"
"2024 Summer","2024-Apr-25","B01","7:00","1","Nilgiri Flowerpecker",1,30,"F","UC","Dicaeum concolor","point_count"
"2024 Summer","2024-Apr-25","B01","7:00","1","Southern Hill Myna",1,30,"H","","Gracula indica","point_count"
"2024 Summer","2024-Apr-25","B01","7:00","1","Yellow-browed Bulbul",1,50,"H","","Iole indica","point_count"
"2024 Summer","2024-Apr-25","B01","7:00","2","Greater Racket-tailed Drongo",1,50,"H","","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-25","B01","7:00","2","White-cheeked Barbet",1,50,"H","","Psilopogon viridis","point_count"
"2024 Summer","2024-Apr-25","B01","7:00","2","Southern Hill Myna",1,0,"F","UC","Gracula indica","point_count"
"2024 Summer","2024-Apr-25","B01","7:00","2","Puff-throated Babbler",1,30,"H","In tea","Pellorneum ruficeps","point_count"
"2024 Summer","2024-Apr-25","C01","7:17","1","Common Tailorbird",1,50,"H","In tea","Orthotomus sutorius","point_count"
"2024 Summer","2024-Apr-25","C01","7:17","1","Malabar Whistling-Thrush",1,30,"H","","Myophonus horsfieldii","point_count"
"2024 Summer","2024-Apr-25","C01","7:17","1","Red-whiskered Bulbul",4,30,"S","In tea","Pycnonotus jocosus","point_count"
"2024 Summer","2024-Apr-25","C01","7:17","1","Greater Racket-tailed Drongo",1,30,"H","","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-25","C01","7:17","1","Plum-headed Parakeet",1,50,"H","","Psittacula cyanocephala","point_count"
"2024 Summer","2024-Apr-25","C01","7:17","2","Crimson-backed Sunbird",1,30,"H","","Leptocoma minima","point_count"
"2024 Summer","2024-Apr-25","C01","7:17","2","Puff-throated Babbler",1,50,"H","","Pellorneum ruficeps","point_count"
"2024 Summer","2024-Apr-25","C02","7:34","1","Greater Racket-tailed Drongo",1,50,"H","","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-25","C02","7:34","1","Great Hornbill",1,30,"H","","Buceros bicornis","point_count"
"2024 Summer","2024-Apr-25","C02","7:34","1","Malabar Whistling-Thrush",1,50,"H","","Myophonus horsfieldii","point_count"
"2024 Summer","2024-Apr-25","C02","7:34","1","Malabar Whistling-Thrush",1,30,"S","","Myophonus horsfieldii","point_count"
"2024 Summer","2024-Apr-25","C02","7:34","1","Indian Scimitar-Babbler",1,50,"H","","Pomatorhinus horsfieldii","point_count"
"2024 Summer","2024-Apr-25","C02","7:34","1","White-bellied Blue Flycatcher",1,30,"H","","Cyornis pallidipes","point_count"
"2024 Summer","2024-Apr-25","C02","7:34","2","Red-whiskered Bulbul",2,30,"H","","Pycnonotus jocosus","point_count"
"2024 Summer","2024-Apr-25","C02","7:34","2","Malabar Flameback",1,50,"H","","Chrysocolaptes socialis","point_count"
"2024 Summer","2024-Apr-25","C02","7:34","2","White-throated Kingfisher",1,50,"H","","Halcyon smyrnensis","point_count"
"2024 Summer","2024-Apr-25","C02","7:34","2","Greater Racket-tailed Drongo",1,50,"H","","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-25","C02","7:34","2","Southern Hill Myna",2,5,"S","","Gracula indica","point_count"
"2024 Summer","2024-Apr-25","D02","7:52","1","Greater Racket-tailed Drongo",1,50,"H","","Dicrurus paradiseus","point_count"
"2024 Summer","2024-Apr-25","D02","7:52","1","Square-tailed Bulbul",2,30,"H","","Hypsipetes ganeesa","point_count"
"2024 Summer","2024-Apr-25","D02","7:52","1","Malabar Woodshrike",1,30,"H","","Tephrodornis sylvicola","point_count"
"2024 Summer","2024-Apr-25","D02","7:52","1","Red-whiskered Bulbul",2,30,"S","","Pycnonotus jocosus","point_count"
"2024 Summer","2024-Apr-25","D02","7:52","1","Indian Scimitar-Babbler",1,30,"H","","Pomatorhinus horsfieldii","point_count"
"2024 Summer","2024-Apr-25","D02","7:52","1","Asian Fairy-bluebird",1,30,"H","","Irena puella","point_count"
