"species","threshold90","threshold95","threshold99","n_samples"
"Asian Brown Flycatcher",0.564475410315992,0.679279680521864,0.932895258955738,34
"Brown-cheeked Fulvetta",0.391546256618452,0.426370446560006,0.503301008983168,100
"Common Tailorbird",0.191542587060646,0.21740701543783,0.274544454245445,33
"Crimson-backed Sunbird",0.523215699061806,0.660323473383577,0.963210007395254,100
"Golden-fronted Leafbird",0.384956514835918,0.508565951198566,0.781633134560136,18
"Great Hornbill",0.624122701998362,0.733299987162116,0.974484921128355,100
"Greater Racket-tailed Drongo",0.188438819669949,0.249834610277382,0.385464834835987,100
"Greenish Warbler",0.311338923683457,0.408885367951764,0.624376462864091,100
"Heart-spotted Woodpecker",0.356806021916218,0.380029287081676,0.431332098531974,18
"Indian Yellow Tit",0.453564902126508,0.503148597912815,0.612684573057145,5
"Large-billed Leaf Warbler",0.22112854209188,0.256678138983044,0.335211207156171,100
"Little Spiderhunter",0.324330775308231,0.375074591417335,0.487173403172112,34
"Malabar Trogon",0.342551984760334,0.380821209650796,0.465362242744825,57
"Nilgiri Flowerpecker",0.166704506362092,0.207800903815246,0.298587479897648,100
"Orange Minivet",0.279531692529612,0.440785289676252,0.797012669037234,100
"Oriental Magpie-Robin",0.232514345819494,0.25940566950202,0.318811635833813,13
"Plum-headed Parakeet",0.374211375330922,0.412457946483119,0.496948934914841,16
"Puff-throated Babbler",0.511281278729157,0.606788783006053,0.817775629562581,100
"Purple Sunbird",0.372102359168622,0.453984434676927,0.634871172654228,47
"Small Minivet",0.158740130390196,0.172289567050915,0.202221800494836,27
"Square-tailed Bulbul",0.136470665717341,0.265018864456554,0.548996330812247,74
"Vernal Hanging-Parrot",0.21042353626117,0.268872601390027,0.397993177088057,100
"White-bellied Blue Flycatcher",0.283343054648328,0.358607295054884,0.524874489052677,18
"White-bellied Treepie",0.631854503654656,0.702302314739245,0.85792947325503,100
